stop_at,prob,reward,V
4,3.6465973708521436e-16,0.46561475011096476,-0.9999999999999994
6,9.67904211712687e-42,0.7538796016289544,-1.0
5,3.4367898458358086e-10,0.6877758479278113,-0.9999999994199469
6,8.585619928115682e-66,0.7538796016289544,-1.0
6,7.9405392279189e-32,0.9466556805711307,-1.0
4,4.858809351278145e-41,0.46561475011096476,-1.0
13,0.0,0.999708938887351,-1.0
9,2.6753395925147914e-24,0.999883593018316,-1.0
5,1.75518301096933e-22,0.886685733706899,-1.0
6,8.949636205326427e-47,0.9927974818242453,-1.0
2,0.999654351588123,0.07955970574210758,0.07918655764429139
7,1.2325627113007749e-199,0.931483780096834,-1.0
4,1.7309277848700702e-17,0.46561475011096476,-1.0
6,1.1051077462184973e-64,0.7538796016289544,-1.0
4,5.3828849679579564e-14,0.46561475011096476,-0.9999999999999211
2,0.99999999931606,0.07955970574210758,0.07955970500375353
8,7.123697940140748e-43,0.9165487190345011,-1.0
5,4.3704466223204845e-37,0.886685733706899,-1.0
4,3.879540797497859e-21,0.46561475011096476,-1.0
